timestamp,context_timestamp,asset,state,direction,strategic_bias,strategic_bias_score,bias_alignment,core_swing_status,core_swing_direction,setup_type,event,anchor_id,anchor_value,flow_score,fast_spot,reason,signature
2026-09-24T07:40:30.668Z,2026-09-24T06:52:14.820Z,SOL,MISSED_DO_NOT_CHASE,long,neutral,1.5,neutral,NONE,,breakout,cross_up,session_poc+session_vah,115.33,4,115.46,Trigger present but first-target R/R is below 1.45,SOL|MISSED_DO_NOT_CHASE|long|session_poc+session_vah|breakout|neutral
2026-09-24T07:52:54.096Z,2026-09-24T07:48:45.641Z,SOL,EARLY_SETUP,long,neutral,2.5,neutral,NONE,,,none,24h_vwap+session_vah,115.47,4,115.61,Positive fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|long|24h_vwap+session_vah|none|neutral
2026-09-24T08:24:09.377Z,2026-09-24T07:48:45.641Z,SOL,NO_TRADE,,neutral,2.5,none,NONE,,,none,24h_poc+session_val,114.62,0,114.77,No executable trigger,SOL|NO_TRADE|none|24h_poc+session_val|none|neutral
2026-09-24T08:40:09.293Z,2026-09-24T07:48:45.641Z,SOL,EARLY_SETUP,short,neutral,2.5,neutral,NONE,,,none,24h_poc+session_val,114.62,-2,114.32,Negative fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|short|24h_poc+session_val|none|neutral
2026-09-24T08:53:43.323Z,2026-09-24T08:49:32.081Z,SOL,EARLY_SETUP,long,neutral,-0.5,neutral,NONE,,,none,24h_val,113.4,3,113.75,Positive fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|long|24h_val|none|neutral
2026-09-24T09:06:52.205Z,2026-09-24T08:49:32.081Z,SOL,NO_TRADE,,neutral,-0.5,none,NONE,,,none,24h_val,113.4,-2,113.78,No executable trigger,SOL|NO_TRADE|none|24h_val|none|neutral
2026-09-24T09:24:37.682Z,2026-09-24T08:49:32.081Z,SOL,EARLY_SETUP,short,neutral,-0.5,neutral,NONE,,,none,24h_val,113.4,-3,113.4,Negative fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|short|24h_val|none|neutral
2026-09-24T09:39:25.762Z,2026-09-24T08:49:32.081Z,SOL,SHORT_TRIGGERED,short,neutral,-0.5,neutral,NONE,,breakdown,cross_down,24h_val,113.4,-4,113.23,Plus30 short-gamma breakdown probe,SOL|SHORT_TRIGGERED|short|24h_val|breakdown|neutral
2026-09-24T09:52:42.105Z,2026-09-24T09:48:44.862Z,SOL,ADD_ALLOWED,short,bearish,-4.0,aligned,NONE,,breakdown-retest/trend-pullback,retest_hold_short,24h_val,113.4,-2,113.43,Retest held and fast flow strengthened,SOL|ADD_ALLOWED|short|24h_val|breakdown-retest/trend-pullback|bearish
2026-09-24T10:04:00.421Z,2026-09-24T09:48:44.862Z,SOL,HOLD_MANAGE,short,bearish,-4.0,aligned,NONE,,breakdown,cross_down,24h_val,113.4,0,113.16,Triggered short thesis remains tied to original anchor,SOL|HOLD_MANAGE|short|24h_val|breakdown|bearish
2026-09-24T10:21:58.899Z,2026-09-24T09:48:44.862Z,SOL,HOLD_MANAGE,short,bearish,-4.0,aligned,NONE,,breakdown-retest/trend-pullback,retest_hold_short,24h_val,113.4,2,113.04,Triggered short thesis remains tied to original anchor,SOL|HOLD_MANAGE|short|24h_val|breakdown-retest/trend-pullback|bearish
2026-09-24T10:36:16.086Z,2026-09-24T09:48:44.862Z,SOL,HOLD_MANAGE,short,bearish,-4.0,aligned,NONE,,,none,24h_val,113.4,0,112.91,Triggered short thesis remains tied to original anchor,SOL|HOLD_MANAGE|short|24h_val|none|bearish
2026-09-24T11:56:37.404Z,2026-09-24T11:47:58.489Z,SOL,HOLD_MANAGE,short,bearish,-3.5,aligned,NONE,,breakdown-retest/trend-pullback,retest_hold_short,24h_val,113.4,2,113.12,Triggered short thesis remains tied to original anchor,SOL|HOLD_MANAGE|short|24h_val|breakdown-retest/trend-pullback|bearish
2026-09-24T12:15:12.643Z,2026-09-24T11:47:58.489Z,SOL,HOLD_MANAGE,short,bearish,-3.5,aligned,NONE,,breakout-retest/trend-pullback,retest_hold_long,24h_val,113.4,4,113.51,Triggered short thesis remains tied to original anchor,SOL|HOLD_MANAGE|short|24h_val|breakout-retest/trend-pullback|bearish
2026-09-24T12:37:34.264Z,2026-09-24T11:47:58.489Z,SOL,HOLD_MANAGE,short,bearish,-3.5,aligned,NONE,,failed-break/sweep-reject,sweep_reject_short,24h_val,113.4,1,113.32,Triggered short thesis remains tied to original anchor,SOL|HOLD_MANAGE|short|24h_val|failed-break/sweep-reject|bearish
2026-09-24T12:53:30.998Z,2026-09-24T12:52:44.249Z,SOL,HOLD_MANAGE,short,neutral,1.5,neutral,NONE,,,none,24h_val,113.4,3,113.56,Triggered short thesis remains tied to original anchor,SOL|HOLD_MANAGE|short|24h_val|none|neutral
2026-09-24T13:06:39.245Z,2026-09-24T12:52:44.249Z,SOL,INVALIDATED,short,neutral,1.5,neutral,NONE,,,none,24h_val,113.4,4,114.18,Anchor reclaimed with opposing fast flow,SOL|INVALIDATED|short|24h_val|none|neutral
2026-09-24T13:25:13.257Z,2026-09-24T12:52:44.249Z,SOL,EARLY_SETUP,long,neutral,1.5,neutral,NONE,,,none,24h_vwap+24h_poc,114.53,2,114.5,Positive fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|long|24h_vwap+24h_poc|none|neutral
2026-09-24T13:40:48.245Z,2026-09-24T12:52:44.249Z,SOL,MISSED_DO_NOT_CHASE,long,neutral,1.5,neutral,NONE,,sweep-reclaim,sweep_reclaim_long,session_vah,115.1,1,115.12,Trigger present but first-target R/R is below 1.60,SOL|MISSED_DO_NOT_CHASE|long|session_vah|sweep-reclaim|neutral
2026-09-24T13:54:50.066Z,2026-09-24T13:50:20.572Z,SOL,NO_TRADE,,bullish,5.5,none,EARLY_ENTRY_CANDIDATE,long,,none,24h_poc,114.55,-2,114.67,No executable trigger,SOL|NO_TRADE|none|24h_poc|none|bullish
2026-09-24T14:08:42.284Z,2026-09-24T13:50:20.572Z,SOL,EARLY_SETUP,long,bullish,5.5,aligned,EARLY_ENTRY_CANDIDATE,long,,none,session_vah,115.1,2,115.16,Positive fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|long|session_vah|none|bullish
2026-09-24T14:26:40.992Z,2026-09-24T13:50:20.572Z,SOL,EARLY_SETUP,long,bullish,5.5,aligned,EARLY_ENTRY_CANDIDATE,long,,none,24h_vah,115.5,4,115.82,Positive fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|long|24h_vah|none|bullish
2026-09-24T14:43:33.545Z,2026-09-24T13:50:20.572Z,SOL,NO_TRADE,,bullish,5.5,none,EARLY_ENTRY_CANDIDATE,long,,none,24h_vah,115.5,4,115.96,No executable trigger,SOL|NO_TRADE|none|24h_vah|none|bullish
2026-09-24T14:57:40.962Z,2026-09-24T14:51:11.501Z,SOL,NO_TRADE,,bullish,5.5,none,EARLY_ENTRY_CANDIDATE,long,sweep-reclaim,sweep_reclaim_long,session_vwap+24h_vwap,114.52,-2,114.61,No executable trigger,SOL|NO_TRADE|none|session_vwap+24h_vwap|sweep-reclaim|bullish
2026-09-24T15:15:03.595Z,2026-09-24T14:51:11.501Z,SOL,EARLY_SETUP,long,bullish,5.5,aligned,EARLY_ENTRY_CANDIDATE,long,,none,session_poc+24h_poc,115.05,4,115.01,Positive fast flow near structural zone under plus30 profile,SOL|EARLY_SETUP|long|session_poc+24h_poc|none|bullish
2026-09-24T15:31:42.789Z,2026-09-24T14:51:11.501Z,SOL,NO_TRADE,,bullish,5.5,none,EARLY_ENTRY_CANDIDATE,long,,none,24h_vah,115.6,0,115.79,No executable trigger,SOL|NO_TRADE|none|24h_vah|none|bullish
2026-09-24T15:47:01.747Z,2026-09-24T14:51:11.501Z,SOL,LONG_TRIGGERED,long,bullish,5.5,aligned,EARLY_ENTRY_CANDIDATE,long,breakout,cross_up,session_vah,116.1,3,116.05,Plus30 short-gamma breakout probe,SOL|LONG_TRIGGERED|long|session_vah|breakout|bullish
2026-09-24T15:57:38.702Z,2026-09-24T15:49:23.665Z,SOL,HOLD_MANAGE,long,bullish,6.0,aligned,EARLY_ENTRY_CANDIDATE,long,sweep-reclaim,sweep_reclaim_long,session_vah,116.1,3,116.23,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|sweep-reclaim|bullish
2026-09-24T16:32:47.516Z,2026-09-24T15:49:23.665Z,SOL,HOLD_MANAGE,long,bullish,6.0,aligned,EARLY_ENTRY_CANDIDATE,long,,none,session_vah,116.1,3,116.94,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|none|bullish
2026-09-24T19:49:30.604Z,2026-09-24T19:46:22.439Z,SOL,HOLD_MANAGE,long,neutral,1.5,neutral,NONE,,,none,session_vah,116.1,-2,117.47,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|none|neutral
2026-09-24T22:21:00.360Z,2026-09-24T21:45:37.768Z,SOL,HOLD_MANAGE,long,neutral,-1.0,neutral,NONE,,breakout-retest/trend-pullback,retest_hold_long,session_vah,116.1,-2,116.27,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|breakout-retest/trend-pullback|neutral
2026-09-24T22:33:30.825Z,2026-09-24T21:45:37.768Z,SOL,HOLD_MANAGE,long,neutral,-1.0,neutral,NONE,,,none,session_vah,116.1,-2,116.49,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|none|neutral
2026-09-24T23:46:49.595Z,2026-09-24T23:45:34.855Z,SOL,HOLD_MANAGE,long,bullish,3.5,aligned,NONE,,,none,session_vah,116.1,4,117.04,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|none|bullish
2026-09-25T00:54:03.311Z,2026-09-25T00:50:50.174Z,SOL,HOLD_MANAGE,long,neutral,2.5,neutral,NONE,,,none,session_vah,116.1,-2,117.41,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|none|neutral
2026-09-25T01:54:54.632Z,2026-09-25T01:46:19.561Z,SOL,HOLD_MANAGE,long,bullish,3.5,aligned,NONE,,,none,session_vah,116.1,4,117.37,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|none|bullish
2026-09-25T05:56:17.252Z,2026-09-25T05:48:28.197Z,SOL,HOLD_MANAGE,long,neutral,0.5,neutral,NONE,,,none,session_vah,116.1,0,116.49,Triggered long thesis remains tied to original anchor,SOL|HOLD_MANAGE|long|session_vah|none|neutral
